Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,12pF,C0603,37.634,-93.566,0.0,top
C10,10uF,C0603,50.794,-81.7605,0.0,top
C11,100nF,C0603,47.253,-80.3935,0.0,top
C12,10uF,C0603,47.164,-81.9105,0.0,top
C13,100nF,C0603,37.896,-84.919,0.0,top
C14,10uF,C0603,71.9615,-80.604,90.0,top
C15,10uF,C0603,69.256,-76.793,0.0,top
C16,10uF,C0603,71.989,-77.232,90.0,top
C17,150pF,C0603,63.311,-80.612,90.0,top
C18,150pF,C0603,63.311,-84.0435,-90.0,top
C19,150pF,C0603,64.932,-88.9585,90.0,top
C2,12pF,C0603,41.068,-93.581,0.0,top
C20,150pF,C0603,63.42,-92.449,-90.0,top
C21,100nF,C0603,29.822,-97.117,0.0,top
C22,100pF,C0603,78.373,-84.147,90.0,top
C23,100pF,C0603,68.844,-84.5595,0.0,top
C24,100pF,C0603,76.84,-87.581,-90.0,top
C25,100pF,C0603,68.872,-90.0435,0.0,top
C26,2.2uF,C0603,62.532,-78.055,0.0,top
C27,10uF,C0603,36.9675,-78.5135,-90.0,top
C28,100nF,C0603,62.592,-85.89175,0.0,bottom
C29,100nF,C0603,57.958,-80.226,90.0,bottom
C3,10uF,C0603,39.008,-82.289,-90.0,top
C30,100nF,C0603,62.566,-93.5285,0.0,bottom
C31,100nF,C0603,57.014,-88.501,0.0,bottom
C32,100nF,C0603,74.135,-91.55,0.0,top
C33,100nF,C0603,73.505,-80.73425,90.0,top
C34,10uF,C0603,44.3675,-78.3625,-90.0,top
C35,100uF,CP_Elec_5x5.4,80.3,-92.96,-90.0,top
C36,100uF,CP_Elec_5x5.4,79.036,-79.446,0.0,top
C37,10uF,C0603,71.626,-94.03,90.0,top
C38,100nF,C0603,73.165,-93.95,90.0,top
C39,10uF,C0603,52.51,-96.797328,180.0,top
C4,10uF,C0603,41.334,-84.9095,180.0,top
C40,10uF,C0603,49.8805,-95.259916,180.0,top
C41,2.2uF,C0603,59.103,-85.8755,180.0,bottom
C42,10uF,C0603,55.918,-94.290832,-90.0,top
C43,2.2uF,C0603,57.966,-94.311,270.0,bottom
C5,100nF,C0603,44.506,-93.4565,180.0,top
C6,2.2uF,C0603,47.164,-83.567,180.0,top
C7,10uF,C0603,54.564,-80.3255,0.0,top
C8,100nF,C0603,54.653,-81.8425,0.0,top
C9,100nF,C0603,50.898,-80.212,0.0,top
D3,Power,LED.0603,37.066,-82.66,90.0,top
F1,500mA,Fuse_0603_1608Metric,34.3,-83.038,180.0,top
FB1,120R,Ferrite_0603_1608Metric,47.202,-78.71,0.0,top
FB2,120R,Ferrite_0603_1608Metric,50.831,-78.714,0.0,top
FB3,120R,Ferrite_0603_1608Metric,54.557,-78.75,0.0,top
FB4,120R,Ferrite_0603_1608Metric,75.48,-93.993,180.0,top
IC1,ES9018K2M,QFN50P500X500X90-29N-D,52.64,-87.0,90.0,top
J2,SWD,JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal,30.21,-79.92,-90.0,top
J3,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,32.315,-89.475,-90.0,top
PJ1,~,PJ327A,89.3525,-81.22,180.0,top
PJ2,~,PJ327A,89.1525,-92.392,180.0,top
PS1,SGM3204YN6G_TR,SOT95P280X125-6N,69.4195,-79.672,-90.0,top
PS2,SGM3204YN6G_TR,SOT95P280X125-6N,53.372584,-93.904832,90.0,top
R1,10k,R0603,38.635,-78.503,-90.0,top
R10,2k,R0603,64.954,-80.6565,90.0,top
R11,13k,R0603,69.73,-91.5755,0.0,top
R12,2k,R0603,64.877,-84.0905,-90.0,top
R13,3k,R0603,68.806,-88.4095,0.0,top
R14,2k,R0603,63.377,-89.0265,90.0,top
R15,3k,R0603,78.365,-87.498,-90.0,top
R16,2k,R0603,64.954,-92.3585,-90.0,top
R17,1M,R0603,29.911,-95.578,0.0,top
R18,10k,R0603,35.511,-80.292,-90.0,top
R19,0,R0603,73.5665,-77.3245,-90.0,top
R2,5.1k,R0603,34.376,-95.5355,0.0,top
R20,13k,R0603,66.402,-85.5195,-90.0,top
R21,13k,R0603,68.7785,-86.0615,0.0,top
R22,3k,R0603,76.884,-84.083,90.0,top
R23,3k,R0603,68.886,-83.0955,0.0,top
R24,100,R0603,81.148,-84.8585,180.0,top
R25,100,R0603,81.148,-83.251,180.0,top
R26,10k,R0603,53.2145,-91.3575,90.0,bottom
R27,4.7k,R0603,40.3365,-89.013,90.0,bottom
R28,4.7k,R0603,41.878,-88.991,90.0,bottom
R29,18k,R0603,59.198,-77.321,0.0,top
R3,5.1k,R0603,34.376,-97.0525,0.0,top
R30,10k,R0603,59.198,-78.804,180.0,top
R31,4.7,R0603,81.149,-87.9945,180.0,top
R32,4.7,R0603,81.148,-86.4775,180.0,top
R33,10k,R0603,58.520672,-95.662,0.0,top
R34,0,R0603,46.544,-91.7585,0.0,top
R4,470,R0603,47.145,-86.602,0.0,top
R5,470,R0603,46.145,-89.892,0.0,top
R6,470,R0603,47.145,-88.381,0.0,top
R7,100,R0603,47.145,-85.067,0.0,top
R8,10k,R0603,66.6595,-77.78,90.0,top
R9,13k,R0603,68.873,-93.1455,0.0,top
SW1,RST,小龟轻触开关3_4_22.0MM,44.315,-95.975,0.0,top
U1,CH32V305FBP6,TSSOP-20_4.4x6.5mm_P0.65mm,40.55,-89.235,180.0,top
U2,ME6210A33M3G,SOT-23,41.548,-82.065,90.0,top
U3,OPA1678,SOIC-8_3.9x4.9mm_P1.27mm,59.88,-83.358,-90.0,top
U4,OPA1678,SOIC-8_3.9x4.9mm_P1.27mm,59.81,-90.943,-90.0,top
U5,LP5907MFX-3.3,SOT-23-5,41.5575,-78.24,0.0,top
U7,sgm8262,SOIC-8_3.9x4.9mm_P1.27mm,73.33,-86.996,-90.0,top
X1,8M,Crystal_SMD_3225-4Pin_3.2x2.5mm,39.15,-96.01,0.0,top
